Cut,inertia,OMI,Tol,Rtol,omi,tol,rtol,Niche
1,2.732793131,0.014671973,1.483157537,1.234963621,0.5,54.3,45.2,90
2,2.731914389,0.014623667,1.485090897,1.232199825,0.5,54.4,45.1,90
3,2.733784672,0.014458194,1.487527422,1.231799056,0.5,54.4,45.1,90
4,2.733438238,0.014440116,1.488515931,1.230482191,0.5,54.5,45,90
5,2.736438275,0.014201087,1.492002878,1.23023431,0.5,54.5,45,90
6,2.736822053,0.014129488,1.493251479,1.229441086,0.5,54.6,44.9,90
7,2.740852659,0.013896012,1.497762376,1.229194271,0.5,54.6,44.8,90
8,2.740491373,0.013882198,1.498742547,1.227866627,0.5,54.7,44.8,90
9,2.740410385,0.013853566,1.49972863,1.226828188,0.5,54.7,44.8,90
10,2.764055949,0.012444276,1.515437284,1.236174389,0.5,54.8,44.7,90
11,2.76419263,0.012414771,1.516742158,1.235035701,0.4,54.9,44.7,90
12,2.781240724,0.01132293,1.528538,1.241379794,0.4,55,44.6,90
13,2.780085401,0.011206739,1.531101907,1.237776754,0.4,55.1,44.5,90
14,2.77740211,0.011013914,1.534502905,1.231885291,0.4,55.2,44.4,90
15,2.777047019,0.010975389,1.535369548,1.230702082,0.4,55.3,44.3,90
16,2.774390881,0.010931031,1.538023707,1.225436143,0.4,55.4,44.2,90
17,2.772344818,0.01086221,1.540010122,1.221472486,0.4,55.5,44.1,90
18,2.771317845,0.010814203,1.542607752,1.21789589,0.4,55.7,43.9,90
19,2.771211274,0.010736093,1.544797127,1.215678054,0.4,55.7,43.9,90
20,2.771558342,0.010643543,1.547078976,1.213835823,0.4,55.8,43.8,90
21,2.770155909,0.010578752,1.549539643,1.210037514,0.4,55.9,43.7,90
22,2.768186117,0.010548343,1.55122914,1.206408634,0.4,56,43.6,90
23,2.767189137,0.010533415,1.552791943,1.203863778,0.4,56.1,43.5,90
24,2.765307019,0.010481997,1.554748462,1.20007656,0.4,56.2,43.4,90
25,2.765530468,0.010376116,1.557166667,1.197987686,0.4,56.3,43.3,90
26,2.762565038,0.010176631,1.561602245,1.190786162,0.4,56.5,43.1,90
27,2.761357883,0.010092477,1.564430883,1.186834523,0.4,56.7,43,90
28,2.75552125,0.009801003,1.56763003,1.178090216,0.4,56.9,42.8,90
29,2.754207156,0.009705042,1.569377253,1.175124861,0.4,57,42.7,90
30,2.75617278,0.009670639,1.569517639,1.176984502,0.4,56.9,42.7,90
31,2.752127699,0.009440102,1.570612756,1.172074842,0.3,57.1,42.6,90
32,2.752622871,0.009323336,1.570808374,1.172491162,0.3,57.1,42.6,90
33,2.747782869,0.008986655,1.570788171,1.168008042,0.3,57.2,42.5,90
34,2.747824232,0.008881478,1.570869883,1.168072872,0.3,57.2,42.5,90
35,2.738800899,0.008583292,1.567537664,1.162679943,0.3,57.2,42.5,90
36,2.741182775,0.008463158,1.567667767,1.16505185,0.3,57.2,42.5,90
37,2.729906365,0.008240053,1.555739908,1.165926405,0.3,57,42.7,90
38,2.730287734,0.008232237,1.555361616,1.166693881,0.3,57,42.7,90
39,2.731123111,0.008225001,1.554944574,1.167953537,0.3,56.9,42.8,90
40,2.724182685,0.008172277,1.536673185,1.179337223,0.3,56.4,43.3,90
41,2.726037808,0.008142456,1.535001901,1.18289345,0.3,56.3,43.4,90
42,2.724760987,0.008148293,1.529023071,1.187589624,0.3,56.1,43.6,90
43,2.724762758,0.00813946,1.529134707,1.187488591,0.3,56.1,43.6,90
44,2.725702213,0.008121464,1.527785382,1.189795367,0.3,56.1,43.7,90
45,2.728392391,0.008125706,1.52422916,1.196037524,0.3,55.9,43.8,90
46,2.729272374,0.008116725,1.522839857,1.198315791,0.3,55.8,43.9,90
47,2.729668502,0.007997111,1.523840011,1.19783138,0.3,55.8,43.9,90
48,2.729834897,0.007846545,1.522541263,1.199447089,0.3,55.8,43.9,90
49,2.730939359,0.00773814,1.520898845,1.202302373,0.3,55.7,44,90
50,2.732814343,0.007711913,1.518298993,1.206803437,0.3,55.6,44.2,90
51,2.732172166,0.007645547,1.5141717,1.21035492,0.3,55.4,44.3,90
52,2.732294482,0.0074348,1.512235393,1.212624289,0.3,55.3,44.4,90
53,2.732212795,0.007131142,1.511815793,1.213265859,0.3,55.3,44.4,90
54,2.731897419,0.006905809,1.510881774,1.214109836,0.3,55.3,44.4,90
55,2.73036322,0.006760743,1.508391704,1.215210774,0.2,55.2,44.5,90
56,2.731438912,0.006618675,1.506082656,1.218737581,0.2,55.1,44.6,90
57,2.730182089,0.006503728,1.499469698,1.224208663,0.2,54.9,44.8,90
58,2.730577399,0.006214405,1.494793623,1.229569371,0.2,54.7,45,90
59,2.730450252,0.005881476,1.490471677,1.2340971,0.2,54.6,45.2,90
60,2.73017267,0.005555122,1.481382969,1.243234579,0.2,54.3,45.5,90
61,2.732458475,0.005288318,1.470745626,1.256424531,0.2,53.8,46,90
62,2.73363099,0.004997008,1.465912306,1.262721676,0.2,53.6,46.2,90
63,2.735446165,0.00474602,1.458232934,1.27246721,0.2,53.3,46.5,90
64,2.737129989,0.004522187,1.452144816,1.280462985,0.2,53.1,46.8,90
65,2.738166602,0.004340729,1.448171034,1.285654838,0.2,52.9,47,90
66,2.741084978,0.004086939,1.442226837,1.294771202,0.1,52.6,47.2,90
67,2.745206259,0.003727455,1.431978389,1.309500415,0.1,52.2,47.7,90
68,2.751156834,0.003422549,1.416546646,1.331187639,0.1,51.5,48.4,90
69,2.753357966,0.003092725,1.393679918,1.356585322,0.1,50.6,49.3,90
70,2.753251827,0.002882919,1.358141195,1.392227713,0.1,49.3,50.6,90
71,2.750931833,0.00275523,1.324637424,1.423539178,0.1,48.2,51.7,90
72,2.749177574,0.002665465,1.299196051,1.447316058,0.1,47.3,52.6,90
73,2.728685941,0.003065831,1.180623383,1.544996727,0.1,43.3,56.6,90
74,2.717710898,0.003321252,1.116570229,1.597819417,0.1,41.1,58.8,90
75,2.72014497,0.003250187,1.098607812,1.618286971,0.1,40.4,59.5,90
76,2.722822199,0.003193243,1.077595329,1.642033627,0.1,39.6,60.3,90
77,2.724102529,0.003134762,1.06483631,1.656131458,0.1,39.1,60.8,90
