Cut,inertia,OMI,Tol,Rtol,omi,tol,rtol,Niche
1,7.781350304,6.703344545,0.556209295,0.521796464,86.1,7.1,6.7,40
2,7.743211542,6.665211998,0.559400654,0.518598889,86.1,7.2,6.7,40
3,7.719470407,6.646517494,0.558245117,0.514707796,86.1,7.2,6.7,40
4,7.696278633,6.62168527,0.562983789,0.511609573,86,7.3,6.6,40
5,7.698940593,6.62784264,0.565698733,0.50539922,86.1,7.3,6.6,40
6,7.701902872,6.635082015,0.568726995,0.498093862,86.1,7.4,6.5,40
7,7.666839836,6.600193985,0.571682366,0.494963485,86.1,7.5,6.5,40
8,7.630223127,6.560181056,0.576599641,0.493442431,86,7.6,6.5,40
9,7.430967856,6.312515166,0.610325315,0.508127375,84.9,8.2,6.8,40
10,7.300060116,6.154084778,0.627442791,0.518532547,84.3,8.6,7.1,40
11,7.259708808,6.111865413,0.629431688,0.518411706,84.2,8.7,7.1,40
12,7.192810165,6.047932292,0.627446052,0.517431821,84.1,8.7,7.2,40
13,7.125194095,5.982563058,0.62670449,0.515926547,84,8.8,7.2,40
14,7.04118471,5.899570397,0.625517949,0.516096364,83.8,8.9,7.3,40
15,6.947324383,5.792171994,0.637106905,0.518045484,83.4,9.2,7.5,40
16,6.82667046,5.660971593,0.646022944,0.519675922,82.9,9.5,7.6,40
17,6.67175073,5.471069237,0.674006325,0.526675168,82,10.1,7.9,40
18,6.6333004,5.417365138,0.658530952,0.557404311,81.7,9.9,8.4,40
19,6.58805457,5.376279061,0.656582524,0.555192986,81.6,10,8.4,40
20,6.532981031,5.324044272,0.653877574,0.555059185,81.5,10,8.5,40
21,6.483245236,5.270248243,0.649016677,0.563980316,81.3,10,8.7,40
22,6.430536227,5.211776598,0.654963379,0.56379625,81,10.2,8.8,40
23,6.358134917,5.122986088,0.668641196,0.566507633,80.6,10.5,8.9,40
24,6.318540693,5.077556918,0.674227125,0.566756649,80.4,10.7,9,40
25,6.308452597,5.072358791,0.679133292,0.556960514,80.4,10.8,8.8,40
26,6.281555172,5.044771988,0.682580142,0.554203042,80.3,10.9,8.8,40
27,6.253070699,5.018552817,0.68627771,0.548240172,80.3,11,8.8,40
28,6.230676725,5.000677914,0.68349816,0.546500651,80.3,11,8.8,40
29,6.165620445,4.942216498,0.690777971,0.532625975,80.2,11.2,8.6,40
30,6.155879244,4.932161683,0.692709853,0.531007708,80.1,11.3,8.6,40
31,6.114058009,4.895343347,0.703268843,0.515445819,80.1,11.5,8.4,40
32,6.114293087,4.895839343,0.703720955,0.514732789,80.1,11.5,8.4,40
33,6.066807654,4.85464623,0.715781847,0.496379577,80,11.8,8.2,40
34,6.059077051,4.850035682,0.720847299,0.48819407,80,11.9,8.1,40
35,6.019753659,4.812395645,0.727057319,0.480300695,79.9,12.1,8,40
