Cut,inertia,OMI,Tol,Rtol,omi,tol,rtol,Niche
1,2.034349427,0.186357744,0.646731623,1.201260061,9.2,31.8,59,70
2,2.03280663,0.185701417,0.647965141,1.199140072,9.1,31.9,59,70
3,2.032086712,0.1855597,0.648288518,1.198238495,9.1,31.9,59,70
4,2.031603239,0.184912449,0.649523533,1.197167256,9.1,32,58.9,70
5,2.030926663,0.184370008,0.650349156,1.1962075,9.1,32,58.9,70
6,2.030147014,0.183923078,0.651055621,1.195168316,9.1,32.1,58.9,70
7,2.029456849,0.183662619,0.65160878,1.19418545,9,32.1,58.8,70
8,2.02875575,0.183325413,0.652274405,1.193155931,9,32.2,58.8,70
9,2.02800913,0.183163489,0.65263641,1.192209231,9,32.2,58.8,70
10,2.027240459,0.183006432,0.6528925,1.191341526,9,32.2,58.8,70
11,2.030692144,0.181121851,0.652871016,1.196699277,8.9,32.2,58.9,70
12,2.028180183,0.180689742,0.653008066,1.194482376,8.9,32.2,58.9,70
13,2.02554341,0.18021226,0.653173362,1.192157788,8.9,32.2,58.9,70
14,2.022044833,0.179165795,0.653722298,1.18915674,8.9,32.3,58.8,70
15,2.021510501,0.178648664,0.654520567,1.18834127,8.8,32.4,58.8,70
16,2.018312771,0.178159355,0.655371243,1.184782173,8.8,32.5,58.7,70
17,2.016160058,0.177419351,0.656181868,1.182558838,8.8,32.5,58.7,70
18,2.014629113,0.176676264,0.657149159,1.18080369,8.8,32.6,58.6,70
19,2.013870028,0.175963488,0.658232966,1.179673575,8.7,32.7,58.6,70
20,2.012039103,0.175408587,0.658952077,1.177678439,8.7,32.8,58.5,70
21,2.010665521,0.174308706,0.660269172,1.176087643,8.7,32.8,58.5,70
22,2.009151831,0.173411686,0.661795272,1.173944873,8.6,32.9,58.4,70
23,2.008368806,0.172944776,0.662679081,1.17274495,8.6,33,58.4,70
24,2.007249113,0.17194798,0.664586009,1.170715124,8.6,33.1,58.3,70
25,2.007353938,0.170595263,0.668599983,1.168158692,8.5,33.3,58.2,70
26,2.005896077,0.168740899,0.672545323,1.164609855,8.4,33.5,58.1,70
