x_rounded,y_rounded,Epoch,Database,Site
0.30000000000000004,43.050000000000004,Pleistocene & Holocene,PACEA,Espéche
0.55,44.5,Holocene,RPDE,"Pech-Merle, Cabrerets, Lot"
0.6000000000000001,45.300000000000004,Pleistocene,PACEA,"L'Abri du Pont-d'Ambon, Commune de Bourdeilles, Dodogne"
0.75,44.85,Pleistocene & Holocene,PACEA,"Gare de Couze, Dordogne"
0.9,44.85,Pleistocene & Holocene,PACEA,"Moulin-du-Roc, Saint-Chamassy"
0.9,45.25,Pleistocene,PACEA,"Combe Saunière, Sarliac-sur-l’Isle"
0.9500000000000001,44.95,Pleistocene,PACEA,La Ferrassie
0.9500000000000001,45.1,Pleistocene,PACEA,Le Piage
1,44.95,Pleistocene,PACEA,"Le Grand Abri de Laugerie-Haute-Ouest, Commune des Eynzies, Dordogne"
1.1,44.85,Pleistocene,PACEA,Le Flagolet II
1.1,44.95,Pleistocene,PACEA,"Comarque, Dordogne"
1.1,45,Pleistocene,PACEA,Gr Conives [Thonay]
1.1500000000000001,45.050000000000004,Pleistocene,PACEA,Laugerie Haute Est
1.2000000000000002,44.800000000000004,Pleistocene,PACEA,"Grotte XVI, Cenac-et-Saint-Julien"
1.3,44.95,Pleistocene,PACEA,"Le Grand Abri de la Madeleine, Commune de Tursac, Dordogne"
1.55,44.85,Pleistocene,PACEA,"L'Abri de Combe-Cullier, Commune de Lacane, Lot"
1.6500000000000001,42.85,Pleistocene,PACEA,"La Grotte des Eglises, Ariége"
1.6500000000000001,44.050000000000004,Pleistocene & Holocene,PACEA,Bruniquel
1.6500000000000001,44.6,Pleistocene,PACEA,"Grotte Pégourié, Caniac-du-Causse"
1.75,50.800000000000004,Pleistocene,PACEA,Rinxent
1.85,44.6,Pleistocene & Holocene,PACEA,"La Grotte de Sainte-Eulalie, Commune d'Espagnac, Lot"
2,53,Pleistocene,Lorenzen,North Sea
2.45,48.650000000000006,Pleistocene,PACEA,Etiolles
2.5,48.6,Pleistocene,PACEA,"Canecaude I, Schicht II"
2.6,42.1,Pleistocene,PACEA,"Roc de la Melca,  Sant Aniol de Finestres"
2.7,48.400000000000006,Pleistocene & Holocene,PACEA,Cuzoul
2.75,42.150000000000006,Pleistocene,Lorenzen,L'Arbreda B superior
3,45.650000000000006,Pleistocene,CARD,Le Bay
3.0500000000000003,48.35,Pleistocene & Holocene,RPDE,"Marolle-sur-Seine, Grand Canton"
3.1,45.85,Pleistocene,CARD,Blanzat
3.2,45.7,Pleistocene & Holocene,PACEA,Pont de Longues
3.25,45.650000000000006,Pleistocene & Holocene,PACEA,"Durif á Enval, Vic-de-Comte"
3.35,48,Pleistocene,RPDE,"Ferme de la Bouviere, Themes"
3.5,45.150000000000006,Holocene,PACEA,"Blot, Cerzat"
3.5,50.45,Pleistocene,PACEA,"Kent’s Cavern, Devon"
3.85,45.050000000000004,Pleistocene,Stage 3,Polignac [Haute-Loire]
3.95,48.7,Pleistocene,PACEA,La Colombière Rockshelter
4,45.400000000000006,Pleistocene,EUROEVOL,"Cottier, Retournac"
4.1000000000000005,44.400000000000006,Holocene,PACEA,"Colombier, Vallon-Pont-d'Arc"
4.1000000000000005,45.050000000000004,Pleistocene,PACEA,"Moula, La Baume Moula-Guercy, Soyons"
4.1000000000000005,48.2,Pleistocene,PACEA,Savoie (Grotte Jean-Pierre)
4.1000000000000005,51.050000000000004,Pleistocene,Stage 3,Dendermonde
4.3500000000000005,43.95,Pleistocene,PACEA,Gr. de Latrone [Ste. Anastasie]
4.4,44.25,Pleistocene,PACEA,"Peyrehaute, Mejanne le Clap, Gard"
4.45,44.35,Pleistocene,PACEA,"Gr. de La Baume d'Oullins (a.k.a. d'Oulen"") [Labastide-de-Virac]"
4.5,55,Pleistocene,Lorenzen,North Sea
4.55,43.900000000000006,Pleistocene & Holocene,PACEA,"La Salpetriere, Remoulins"
4.55,43.95,Pleistocene,PACEA,"Grotte de la Salpêtrière, Remoulins-Gard"
4.6000000000000005,50.400000000000006,Holocene,PACEA,Presles
4.7,50.5,Pleistocene,RPDE,Spy Cave
4.75,44.5,Pleistocene & Holocene,PACEA,"Aven des Iboussieres, Drome"
4.75,45.95,Pleistocene,PACEA,Villefranche-sur-Saone
4.75,46.150000000000006,Pleistocene,Lorenzen,Vergisson II
