"sample","standard_deviation","growth_rate_max","local_threshold","harvest_max","harvest_z","density","niche_breadth","niche_cuts","dispersal_proportion","dispersal_max_distance","human_density_sample","weight"
1059,0.0280945842161769,3.47172831793432,173,0.0242107652130036,1.15390380496224,2398.82496042941,40,603,0.0675347659578989,333.047729663537,0.788287912019575,0.427113973069389
7332,0.107128020506833,3.32843274798642,43,0.289844117205989,1.21100128822789,2035.18001179909,40,603,0.134709023020854,490.97011491931,0.337653337535262,0.151273888951889
19467,0.082044219336001,3.82711280458394,121,0.151766704324009,1.89224758796236,2706.74010146598,40,602,0.0824491655393294,330.562519885157,0.379921106323146,0.130386938626623
5984,0.0278207125358906,5.32320512055618,70,0.0152893518799945,1.69256397261441,744.100935049901,50,503,0.13062862330124,430.823966792179,0.44015257507636,0.42560553937415
6029,0.135732170292905,4.86680879366674,10,0.0467676389480359,1.71432332621716,1736.452708777,50,55,0.249861640247102,333.014873995162,0.759494905257621,0.0442872787847601
13805,0.108008891552105,5.90308004094766,254,0.0689884476331953,1.23891322461212,3554.96450009879,50,503,0.188091072347038,372.095950868814,0.499164189246995,0.143068248383204
14355,0.14964426183953,4.6817384882699,31,0.175129262510302,1.1869913322289,1013.7549940696,50,503,0.186797663184183,384.381063804342,0.725131957104825,0.144057905677606
15593,0.118198511756819,2.62701266437658,238,0.134215443427989,1.2598458575187,3099.5101233252,50,503,0.162972964010534,309.042056526812,0.142720334485802,0.00143189835680102
15898,0.147152901958722,3.13962777437654,43,0.317682591663387,1.76791579200089,4527.77212849407,50,502,0.156175524978498,405.406312632603,0.703152374812681,0.0936076510556392
17383,0.061876817728859,6.80406782326893,118,0.246119330919585,1.69920488598918,1620.35912013776,50,503,0.091202451895331,460.027705764561,0.135881097641843,0.498405512032232
19467,0.082044219336001,3.82711280458394,121,0.151766704324009,1.89224758796236,2706.74010146598,50,503,0.0824491655393294,330.562519885157,0.379921106323146,0.396836121679217
102,0.0158185326952583,5.96686923137068,128,0.00878085007010202,1.90386107201817,2312.67785400669,60,77,0.186219359467332,193.747048796527,0.0896896425178857,0.125916145311756
108,0.134774823206588,6.45307252021814,75,0.109485260724258,1.82408287015781,2854.84531929626,60,88,0.232482579747308,447.258526530359,0.651780849845882,0.127758875828831
300,0.142015674262298,3.35227640619194,122,0.0526759306602605,1.62931414465343,1436.18574118165,60,17,0.124414966241892,162.769136275668,0.713463902897446,0.0689654738864751
375,0.118380666857933,2.80683977373505,127,0.0488019219200831,1.78335501190777,1818.38402073343,60,20,0.128805571429625,260.651424388518,0.829976735325903,0.093918606707436
378,0.0725891663065986,1.52654936666304,172,0.0531498747168737,1.86303024071684,3792.1330132251,60,37,0.0953791139360541,479.192898540692,0.375574240799877,0.108065842714855
392,0.0153070157697672,3.80911068576564,46,0.136092289614014,1.74090149301423,1694.78027957324,60,87,0.220931165389984,489.018602539767,0.770827477930824,0.290079407664488
534,0.0339438743604918,4.15990289337448,81,0.0415994077023526,1.37251814116337,1849.89270835253,60,75,0.181371908626559,152.743594041732,0.928634394227632,0.194571350182508
564,0.16942640866278,3.65693819269685,104,0.0510305919609865,1.69397349588831,2566.45031898108,60,35,0.106916868209227,130.377070491025,0.183966016472247,0.154973808846855
602,0.111988514604039,5.09809180907728,82,0.0891175423429732,1.75307758889874,2749.04834290352,60,79,0.185408465997397,142.183593604579,0.76961759569667,0.0827710442719459
617,0.0473317109695287,4.12513796334297,32,0.235010397959889,1.43335864791977,1340.58895009621,60,6,0.241031471569815,285.239847749542,0.775335172084265,0.194867898281081
623,0.0204217390688075,5.71751407152897,50,0.152152364945622,1.7774240558565,1124.34429891106,60,31,0.141835031591046,345.521841694009,0.399614238118508,0.187784803291949
647,0.126087172503704,3.45049567867032,196,0.0200507492279902,1.85756398841984,3761.27029577612,60,53,0.248096798053803,252.281094551086,0.792662240019627,0.00695691602298287
657,0.00555598978877271,5.47946413012296,95,0.114219524330119,1.04190446474568,3449.51902612254,60,37,0.206105603863986,243.290244669672,0.189108361129218,0.0117072100865889
722,0.0401390500967525,5.71450582803159,79,0.324546782499396,1.65694037763814,2034.74446287008,60,61,0.06503884501372,350.277536101299,0.110233228135796,0.208757521873034
791,0.119941035483663,1.49568620635869,40,0.11615729214423,1.56558856696895,2270.2932346701,60,37,0.12583109142903,353.419821806154,0.247435702144296,0.27233951120958
805,0.138135468763812,1.54049005257634,19,0.27377042832719,1.25493782077403,772.422221693741,60,6,0.232492639050225,308.694606169271,0.711853477552324,0.0987060768690021
820,0.0859948584141064,6.49226783926469,149,0.099721077792889,1.2519512151373,3020.42357236085,60,25,0.21686000488901,139.070453570383,0.464648685277079,0.0720211192357498
1019,0.0088425550793382,2.28769766786765,77,0.238101529810147,1.3134281214853,2823.26096076129,60,23,0.0897671107052895,196.863290464953,0.0814643655306543,0.137161183063302
1020,0.00308904960509884,5.19856654697981,71,0.135905323498797,1.66113699803328,3484.55874864088,60,53,0.183008783221415,396.929395126551,0.912945866909297,0.149297399504294
1101,0.108736124100767,2.54375913526339,204,0.102718481483792,1.8243518228274,2877.55622962075,60,49,0.201597328518967,276.354400808034,0.0417134077985771,0.150026193186205
1185,0.0372778997668505,2.91201673227039,251,0.0697078985241696,1.93935542697726,3502.12780843678,60,77,0.216888978047299,307.223691096278,0.928341911144846,0.00734383842472619
1281,0.00681269238836627,4.61805000687424,91,0.234265469571067,1.57393896654157,3178.39172851,60,68,0.0929407879841374,433.070877069761,0.195047472734854,0.081351070445293
1290,0.0986031235471452,5.35847840328319,80,0.0370919640618772,1.31164453551845,1584.90340047785,60,84,0.212942488793109,436.771077119163,0.733984135708236,0.160754978392747
1390,0.156596751337997,2.7645351860459,61,0.144771558173286,1.94654657883183,1286.28945785549,60,68,0.216433062293991,309.113066315013,0.549939969882858,0.217864812496969
1396,0.0666518154659902,3.76157357868798,50,0.304852771503152,1.98270518332396,1737.13797189681,60,2,0.161707286061696,448.086068263268,0.479751688867342,0.242785946781104
1433,0.0183505144707151,3.32183507972962,248,0.0769915083644661,1.77469211383112,2169.92992298055,60,32,0.0732503060084232,210.802237762916,0.0830561215779162,0.072966467020551
1472,0.0570789367311459,3.75227583139827,217,0.0631379793387203,1.74065586769278,2573.47810420266,60,12,0.127016921896003,452.684518489274,0.811701619153749,0.0717078224411466
1514,0.168532912954105,3.37271324900672,11,0.136743261430592,1.25748389280887,1312.42905765299,60,30,0.0875835543219955,353.101073693666,0.298294483436388,0.490390556902595
1519,0.0679963377691517,6.48265020108173,87,0.0402989222194179,1.04475900078702,2843.85814723846,60,27,0.0523711230664467,271.386788631519,0.244259523303097,0.120164732637439
1586,0.164176281282725,4.62214901243958,139,0.214543011224587,1.90409975173414,2760.55766635913,60,31,0.106187338035016,111.67451632251,0.504897275637486,0.0550032341926835
1594,0.00957687769010867,4.55788352980321,116,0.0625432634371222,1.97709431173217,2088.88064709543,60,47,0.0861442070010374,349.864802164496,0.407386540072213,0.210510406521249
1989,0.124704473061771,4.61871896028372,219,0.107077353868342,1.48801231543147,2430.5681287776,60,56,0.206470647573909,498.724795356034,0.165582013057952,0.105318834191358
